Transmitidos,Descartados,Guepardo,Elefante,Middle
2769,231,897,938,934
2846,154,921,976,949
2880,120,937,984,959
2954,46,977,992,985
2820,180,922,947,951
2959,41,978,995,986
2847,153,938,948,961
2784,216,920,916,948
2887,113,941,985,961
2846,154,937,950,959
2750,250,900,913,937
2849,151,920,979,950
2803,197,916,941,946
2884,116,939,984,961
2769,231,897,936,936
2922,78,959,989,974
2925,75,962,988,975
2898,102,959,964,975
2881,119,939,981,961
2885,115,939,985,961
2923,77,959,989,975
2884,116,939,983,962
2845,155,920,975,950
2833,167,916,969,948
2846,154,919,979,948
2850,150,940,948,962
2887,113,957,957,973
2844,156,919,975,950
2858,142,939,957,962
2842,158,917,975,950
,,,,
,,,,
Media,,,,
2859,141,"934,1","966,6","958,3"
,,,,
Desvios,,,,
"51,8512461194322","51,8512461194322","21,4947467519632","22,4922975321745","13,4987866632268"
