Transmitidos,Descartados,Guepardo,Elephant,Middle
1866,1134,486,761,619
1848,1152,485,745,618
1854,1146,495,730,629
1832,1168,487,726,619
1955,1045,493,847,615
1826,1174,491,717,618
1849,1151,490,740,619
1875,1125,498,758,619
1908,1092,488,801,619
1822,1178,493,707,622
1776,1224,498,661,617
1906,1094,498,790,618
1927,1073,517,789,621
1914,1086,500,793,621
1932,1068,499,817,616
1800,1200,486,695,619
1871,1129,480,770,621
1961,1039,498,846,617
1912,1088,507,791,614
1957,1043,500,838,619
1939,1061,487,833,619
1782,1218,485,679,618
1855,1145,486,748,621
1875,1125,488,769,618
1858,1142,489,748,621
1827,1173,488,717,622
1881,1119,490,772,619
1844,1156,480,743,621
1815,1185,488,709,618
1885,1115,491,779,615
,,,,
Medias,,,,
"1871,73333333333","1128,26666666667","492,033333333333","760,633333333333","619,066666666667"
,,,,
Desvios,,,,
"51,1778058936875","51,1778058936875","7,8979846112499","48,6829881306944","2,76596722913408"
